outlet_id|location_id|transaction_id|upc_code|channel_basket_id|qty|amount|event_ts
OUT-1038|LOC-0538|TXN-10001242|347687014624|BSK-3CD23AAF|1|21.53|2026-06-13T06:08:40Z
OUT-1038|LOC-0538|TXN-10001242|624751079919|BSK-3CD23AAF|1|4.58|2026-06-13T06:08:40Z
OUT-1038|LOC-0538|TXN-10001242|783908470075|BSK-3CD23AAF|1|42.51|2026-06-13T06:08:40Z
OUT-1011|LOC-0511|TXN-10001296|671657262846|BSK-52DA47AC|1|31.17|2026-06-13T07:05:10Z
OUT-1011|LOC-0511|TXN-10001296|839826224440|BSK-52DA47AC|1|25.15|2026-06-13T07:05:10Z
OUT-1011|LOC-0511|TXN-10001296|858842474516|BSK-52DA47AC|1|23.94|2026-06-13T07:05:10Z
OUT-1017|LOC-0517|TXN-10001241|177852892265|BSK-9CF5FE16|1|25.63|2026-06-13T07:18:34Z
OUT-1017|LOC-0517|TXN-10001241|626551104754|BSK-9CF5FE16|2|76.60|2026-06-13T07:18:34Z
OUT-1012|LOC-0512|TXN-10001229|444313518232|BSK-91CD3AF7|1|11.59|2026-06-13T07:20:11Z
OUT-1012|LOC-0512|TXN-10001229|685054235730|BSK-91CD3AF7|1|12.09|2026-06-13T07:20:11Z
OUT-1007|LOC-0507|TXN-10001311|487347143452|BSK-E046E5C8|1|16.66|2026-06-13T07:29:00Z
OUT-1012|LOC-0512|TXN-10001259|298259526949|BSK-B02044EC|2|60.16|2026-06-13T07:44:49Z
OUT-1012|LOC-0512|TXN-10001259|517187026216|BSK-B02044EC|1|24.00|2026-06-13T07:44:49Z
OUT-1004|LOC-0504|TXN-10001289|241038657198|BSK-60AB19D9|2|11.34|2026-06-13T07:58:11Z
OUT-1004|LOC-0504|TXN-10001289|838065787594|BSK-60AB19D9|1|25.61|2026-06-13T07:58:11Z
OUT-1027|LOC-0527|TXN-10001305|265479356465|BSK-D0794A04|1|18.88|2026-06-13T08:05:03Z
OUT-1027|LOC-0527|TXN-10001305|498084124116|BSK-D0794A04|2|74.74|2026-06-13T08:05:03Z
