outlet_id|location_id|transaction_id|upc_code|channel_basket_id|qty|amount|event_ts
OUT-1004|LOC-0504|TXN-20000950|139837354038|BSK-BA63F893|1|46.91|2026-06-19T06:17:10Z
OUT-1031|LOC-0531|TXN-20000947|566246287334|BSK-35909433|1|15.73|2026-06-19T06:34:40Z
OUT-1017|LOC-0517|TXN-20000961|277561853745|BSK-87EDF6C6|1|23.69|2026-06-19T06:54:11Z
OUT-1017|LOC-0517|TXN-20000961|484086211824|BSK-87EDF6C6|2|25.60|2026-06-19T06:54:11Z
OUT-1017|LOC-0517|TXN-20000961|565452711114|BSK-87EDF6C6|2|44.30|2026-06-19T06:54:11Z
OUT-1017|LOC-0517|TXN-20000961|760366909675|BSK-87EDF6C6|3|3.84|2026-06-19T06:54:11Z
OUT-1037|LOC-0537|TXN-20000922|012269166977|BSK-88869EB3|1|26.92|2026-06-19T07:52:07Z
OUT-1034|LOC-0534|TXN-20000920|929378427014|BSK-2A6C6A31|1|3.74|2026-06-19T07:54:07Z
OUT-1009|LOC-0509|TXN-20000948|139537672425|BSK-C6EBD9CC|1|13.07|2026-06-19T07:57:12Z
OUT-1016|LOC-0516|TXN-20000923|065627298063|BSK-4B475A0B|1|29.99|2026-06-19T07:58:36Z
OUT-1016|LOC-0516|TXN-20000923|655743132916|BSK-4B475A0B|1|8.61|2026-06-19T07:58:36Z
OUT-1026|LOC-0526|TXN-20000957|398680002576|BSK-8D5CA266|1|26.44|2026-06-19T08:23:59Z
OUT-1011|LOC-0511|TXN-20000951|495788568550|BSK-285331C8|1|35.43|2026-06-19T08:27:38Z
OUT-1011|LOC-0511|TXN-20000951|998094024456|BSK-285331C8|1|18.19|2026-06-19T08:27:38Z
OUT-1016|LOC-0516|TXN-20000924|900343244515|BSK-68AAA4F9|1|1.37|2026-06-19T08:47:37Z
OUT-1008|LOC-0508|TXN-20000936|888794705512|BSK-5A3094F1|1|49.01|2026-06-19T08:49:12Z
OUT-1007|LOC-0507|TXN-20000940|031051834733|BSK-1262DB56|1|27.41|2026-06-19T09:25:30Z
OUT-1016|LOC-0516|TXN-20000952|157473384844|BSK-DF942C96|1|7.72|2026-06-19T09:31:50Z
OUT-1032|LOC-0532|TXN-20000944|263689702836|BSK-31A24804|1|28.47|2026-06-19T09:39:49Z
OUT-1028|LOC-0528|TXN-20000946|341016668700|BSK-E8EA474D|2|64.38|2026-06-19T10:11:07Z
OUT-1002|LOC-0502|TXN-20000930|937452991245|BSK-553D6BBA|1|6.29|2026-06-19T10:49:21Z
OUT-1012|LOC-0512|TXN-20000964|259532787747|BSK-EF8D281D|1|25.36|2026-06-19T11:11:45Z
OUT-1012|LOC-0512|TXN-20000964|657569245931|BSK-EF8D281D|2|48.92|2026-06-19T11:11:45Z
OUT-1039|LOC-0539|TXN-20000967|877694531475|BSK-2CB61D24|1|12.94|2026-06-19T11:58:14Z
