outlet_id|location_id|transaction_id|upc_code|channel_basket_id|qty|amount|event_ts
OUT-1011|LOC-0511|TXN-30000223|100623120380|BSK-4BFAA29E|1|23.33|2026-06-05T06:22:41Z
OUT-1011|LOC-0511|TXN-30000223|121267888610|BSK-4BFAA29E|1|2.28|2026-06-05T06:22:41Z
OUT-1011|LOC-0511|TXN-30000223|340438427971|BSK-4BFAA29E|1|27.93|2026-06-05T06:22:41Z
OUT-1029|LOC-0529|TXN-30000212|581995604669|BSK-64CC7A90|2|78.34|2026-06-05T06:43:32Z
OUT-1018|LOC-0518|TXN-30000215|622292706530|BSK-46D162D6|2|97.00|2026-06-05T06:52:12Z
OUT-1025|LOC-0525|TXN-30000201|353693785472|BSK-BBC41107|1|48.35|2026-06-05T07:12:58Z
OUT-1009|LOC-0509|TXN-30000220|173936385463|BSK-13707FCB|1|23.84|2026-06-05T07:38:53Z
OUT-1009|LOC-0509|TXN-30000220|622292706530|BSK-13707FCB|1|48.50|2026-06-05T07:38:53Z
OUT-1007|LOC-0507|TXN-30000185|229612018368|BSK-8673CF07|1|21.56|2026-06-05T07:49:21Z
OUT-1003|LOC-0503|TXN-30000208|071518203771|BSK-6BF2D5D9|-1|-26.67|2026-06-05T07:54:53Z
OUT-1003|LOC-0503|TXN-30000208|460953962181|BSK-6BF2D5D9|1|48.75|2026-06-05T07:54:53Z
OUT-1003|LOC-0503|TXN-30000208|986143410367|BSK-6BF2D5D9|1|32.30|2026-06-05T07:54:53Z
OUT-1036|LOC-0536|TXN-30000188|071518203771|BSK-4844CC49|1|26.67|2026-06-05T07:54:56Z
OUT-1001|LOC-0501|TXN-30000204|100330923274|BSK-53D509AF|1|33.79|2026-06-05T08:08:06Z
OUT-1001|LOC-0501|TXN-30000204|832856914633|BSK-53D509AF|2|7.66|2026-06-05T08:08:06Z
OUT-1016|LOC-0516|TXN-30000190|512868230043|BSK-6C0990B6|-3|-71.04|2026-06-05T08:38:37Z
OUT-1016|LOC-0516|TXN-30000190|997376311659|BSK-6C0990B6|1|21.75|2026-06-05T08:38:37Z
OUT-1035|LOC-0535|TXN-30000192|173936385463|BSK-7BDD41B3|1|23.84|2026-06-05T09:25:04Z
OUT-1035|LOC-0535|TXN-30000192|930870593251|BSK-7BDD41B3|1|36.12|2026-06-05T09:25:04Z
OUT-1001|LOC-0501|TXN-30000219|199410137212|BSK-52A0628B|1|45.34|2026-06-05T09:27:18Z
OUT-1001|LOC-0501|TXN-30000219|700516271368|BSK-52A0628B|1|5.37|2026-06-05T09:27:18Z
OUT-1033|LOC-0533|TXN-30000209|662961943118|BSK-B68D6F38|2|28.24|2026-06-05T10:25:08Z
OUT-1033|LOC-0533|TXN-30000209|998094024456|BSK-B68D6F38|1|18.19|2026-06-05T10:25:08Z
OUT-1022|LOC-0522|TXN-30000196|263689702836|BSK-1ECA85B3|1|28.47|2026-06-05T11:22:59Z
OUT-1040|LOC-0540|TXN-30000206|186449251927|BSK-F311A3A1|1|45.91|2026-06-05T12:56:42Z
OUT-1040|LOC-0540|TXN-30000206|751401051237|BSK-F311A3A1|1|26.27|2026-06-05T12:56:42Z
OUT-1040|LOC-0540|TXN-30000206|877694531475|BSK-F311A3A1|1|12.94|2026-06-05T12:56:42Z
OUT-1002|LOC-0502|TXN-30000213|528098851651|BSK-85D3F3EE|2|87.60|2026-06-05T13:15:28Z
OUT-1002|LOC-0502|TXN-30000213|599965047736|BSK-85D3F3EE|1|18.42|2026-06-05T13:15:28Z
OUT-1002|LOC-0502|TXN-30000213|911718227828|BSK-85D3F3EE|3|41.94|2026-06-05T13:15:28Z
OUT-1071|LOC-0517|TXN-30000200|647102767730|BSK-4BE730A1|1|17.66|2026-06-05T13:40:07Z
OUT-1071|LOC-0517|TXN-30000200|812067974039|BSK-4BE730A1|1|15.11|2026-06-05T13:40:07Z
OUT-1071|LOC-0517|TXN-30000200|825867362265|BSK-4BE730A1|1|20.37|2026-06-05T13:40:07Z
OUT-1029|LOC-0529|TXN-30000189|109104300686|BSK-5420D149|1|15.03|2026-06-05T14:24:47Z
OUT-1029|LOC-0529|TXN-30000189|403761379185|BSK-5420D149|2|89.08|2026-06-05T14:24:47Z
OUT-1039|LOC-0539|TXN-30000186|086353654190|BSK-1CC6F0A0|1|19.26|2026-06-05T14:27:17Z
OUT-1039|LOC-0539|TXN-30000186|104332181960|BSK-1CC6F0A0|1|2.55|2026-06-05T14:27:17Z
OUT-1039|LOC-0539|TXN-30000186|499091334123|BSK-1CC6F0A0|1|12.74|2026-06-05T14:27:17Z
OUT-1039|LOC-0539|TXN-30000186|581995604669|BSK-1CC6F0A0|2|78.34|2026-06-05T14:27:17Z
OUT-1026|LOC-0526|TXN-30000195|014767976430|BSK-6D300E33|3|113.94|2026-06-05T15:53:26Z
OUT-1031|LOC-0531|TXN-30000216|517518304693|BSK-8EF86619|2|61.06|2026-06-05T15:57:46Z
OUT-1031|LOC-0531|TXN-30000216|786527858545|BSK-8EF86619|1|30.88|2026-06-05T15:57:46Z
OUT-1024|LOC-0524|TXN-30000210|055269658271|BSK-8F881E63|2|95.52|2026-06-05T16:17:48Z
OUT-1024|LOC-0524|TXN-30000211|016272046530|BSK-0AC7256B|1|23.27|2026-06-05T16:44:48Z
OUT-1024|LOC-0524|TXN-30000211|546688937349|BSK-0AC7256B|2|44.70|2026-06-05T16:44:48Z
OUT-1024|LOC-0524|TXN-30000211|929378427014|BSK-0AC7256B|1|3.74|2026-06-05T16:44:48Z
OUT-1007|LOC-0507|TXN-30000199|525459910224|BSK-AE2E7DD2|3|113.88|2026-06-05T17:32:50Z
OUT-1007|LOC-0507|TXN-30000199|597703482474|BSK-AE2E7DD2|2|88.30|2026-06-05T17:32:50Z
OUT-1007|LOC-0507|TXN-30000199|870534949379|BSK-AE2E7DD2|3|57.12|2026-06-05T17:32:50Z
OUT-1030|LOC-0530|TXN-30000193|123685160484|BSK-1E2964F1|1|7.05|2026-06-05T17:55:56Z
OUT-1030|LOC-0530|TXN-30000193|398680002576|BSK-1E2964F1|1|26.44|2026-06-05T17:55:56Z
OUT-1023|LOC-0523|TXN-30000203|126464715431|BSK-BD5A0760|1|36.31|2026-06-05T18:14:20Z
OUT-1005|LOC-0505|TXN-30000207|240049915471|BSK-85D8CC08|2|98.92|2026-06-05T19:19:16Z
OUT-1005|LOC-0505|TXN-30000207|883552312438|BSK-85D8CC08|2|18.98|2026-06-05T19:19:16Z
OUT-1005|LOC-0505|TXN-30000221|115447962757|BSK-629F1962|1|22.90|2026-06-05T19:24:13Z
OUT-1005|LOC-0505|TXN-30000221|642059304076|BSK-629F1962|2|53.86|2026-06-05T19:24:13Z
OUT-1005|LOC-0505|TXN-30000221|936763201630|BSK-629F1962|1|9.61|2026-06-05T19:24:13Z
OUT-1025|LOC-0525|TXN-30000217|014767976430|BSK-5A0FDF61|1|37.98|2026-06-05T19:28:07Z
OUT-1025|LOC-0525|TXN-30000217|551884422582|BSK-5A0FDF61|1|11.98|2026-06-05T19:28:07Z
OUT-1025|LOC-0525|TXN-30000217|992299590013|BSK-5A0FDF61|1|3.22|2026-06-05T19:28:07Z
OUT-1006|LOC-0506|TXN-30000205|569816934065|BSK-D27E5846|1|1.07|2026-06-05T19:31:27Z
OUT-1006|LOC-0506|TXN-30000205|710932480862|BSK-D27E5846|2|11.12|2026-06-05T19:31:27Z
OUT-1002|LOC-0502|TXN-30000191|566246287334|BSK-A277279B|1|15.73|2026-06-05T20:28:06Z
OUT-1021|LOC-0521|TXN-30000198|156149784032|BSK-87D2E18F|1|20.36|2026-06-05T20:34:05Z
OUT-1021|LOC-0521|TXN-30000198|870534949379|BSK-87D2E18F|1|19.04|2026-06-05T20:34:05Z
OUT-1031|LOC-0531|TXN-30000202|030673830284|BSK-2906567D|2|99.34|2026-06-05T20:41:26Z
OUT-1031|LOC-0531|TXN-30000202|212779979955|BSK-2906567D|1|43.34|2026-06-05T20:41:26Z
OUT-1031|LOC-0531|TXN-30000202|484086211824|BSK-2906567D|2|25.60|2026-06-05T20:41:26Z
OUT-1031|LOC-0531|TXN-30000202|840449972786|BSK-2906567D|3|74.16|2026-06-05T20:41:26Z
OUT-1020|LOC-0520|TXN-30000187|082400842718|BSK-7A506F60|1|43.75|2026-06-05T21:07:46Z
OUT-1020|LOC-0520|TXN-30000187|315851493681|BSK-7A506F60|1|48.74|2026-06-05T21:07:46Z
OUT-1020|LOC-0520|TXN-30000187|351585064315|BSK-7A506F60|1|47.49|2026-06-05T21:07:46Z
OUT-1020|LOC-0520|TXN-30000222|315851493681|BSK-06BF79CF|2|97.48|2026-06-05T21:10:07Z
OUT-1020|LOC-0520|TXN-30000222|527177449055|BSK-06BF79CF|2|51.70|2026-06-05T21:10:07Z
