outlet_id|location_id|transaction_id|upc_code|basket_ref|qty|amount|event_ts
OUT-1032|LOC-0532|TXN-30000699|499091334123|BSK-39608241|1|12.74|2026-06-16T06:31:50Z
OUT-1023|LOC-0523|TXN-30000708|019380262069|BSK-A64D2F1C|1|39.60|2026-06-16T06:57:37Z
OUT-1023|LOC-0523|TXN-30000708|947775204717|BSK-A64D2F1C|1|41.27|2026-06-16T06:57:37Z
OUT-1001|LOC-0501|TXN-30000720|482814893250|BSK-613D22C9|2|76.70|2026-06-16T07:49:57Z
OUT-1026|LOC-0526|TXN-30000707|471349361839|BSK-1BF5E3A0|1|32.72|2026-06-16T08:04:01Z
OUT-1026|LOC-0526|TXN-30000707|911718227828|BSK-1BF5E3A0|-1|-13.98|2026-06-16T08:04:01Z
OUT-1014|LOC-0514|TXN-30000712|947775204717|BSK-E0BDA058|1|41.27|2026-06-16T08:48:27Z
OUT-1011|LOC-0511|TXN-30000726|652239559059|BSK-F29EC80C|1|47.42|2026-06-16T08:48:48Z
OUT-1010|LOC-0510|TXN-30000698|091699854357|BSK-038711AD|1|12.69|2026-06-16T08:51:31Z
OUT-1003|LOC-0503|TXN-30000714|050455623866|BSK-82DC6F92|2|57.44|2026-06-16T09:45:17Z
OUT-1003|LOC-0503|TXN-30000714|098358416871|BSK-82DC6F92|1|38.45|2026-06-16T09:45:17Z
OUT-1003|LOC-0503|TXN-30000714|115542622181|BSK-82DC6F92|1|28.59|2026-06-16T09:45:17Z
OUT-1032|LOC-0532|TXN-30000717|974014890257|BSK-43B91C43|1|1.76|2026-06-16T10:27:54Z
OUT-1021|LOC-0521|TXN-30000713|031051834733|BSK-0F5DE2AC|1|27.41|2026-06-16T10:54:35Z
OUT-1021|LOC-0521|TXN-30000713|177852892265|BSK-0F5DE2AC|1|25.63|2026-06-16T10:54:35Z
OUT-1021|LOC-0521|TXN-30000713|691545226750|BSK-0F5DE2AC|1|9.53|2026-06-16T10:54:35Z
OUT-1014|LOC-0514|TXN-30000691|265479356465|BSK-AC7C2BCA|1|18.88|2026-06-16T11:08:28Z
OUT-1014|LOC-0514|TXN-30000691|403761379185|BSK-AC7C2BCA|1|44.54|2026-06-16T11:08:28Z
