outlet_id|location_id|transaction_id|upc_code|channel_basket_id|qty|amount|event_ts
OUT-1023|LOC-0523|TXN-40000339|330365414588|BSK-99B3BDE0|1|20.57|2026-06-12T06:18:19Z
OUT-1023|LOC-0523|TXN-40000339|986143410367|BSK-99B3BDE0|-1|-32.30|2026-06-12T06:18:19Z
OUT-1037|LOC-0537|TXN-40000346|549651370983|BSK-341C3B08|1|17.06|2026-06-12T07:23:23Z
OUT-1037|LOC-0537|TXN-40000346|959310341313|BSK-341C3B08|1|19.62|2026-06-12T07:23:23Z
OUT-1040|LOC-0540|TXN-40000335|242415415202|BSK-5079C6F8|2|40.82|2026-06-12T07:34:46Z
OUT-1040|LOC-0540|TXN-40000335|992299590013|BSK-5079C6F8|1|3.22|2026-06-12T07:34:46Z
OUT-1039|LOC-0539|TXN-40000351|244935348749|BSK-C31FD749|1|45.35|2026-06-12T07:40:09Z
OUT-1039|LOC-0539|TXN-40000351|647468723432|BSK-C31FD749|3|145.38|2026-06-12T07:40:09Z
OUT-1011|LOC-0511|TXN-40000344|459615865786|BSK-9B0FA7C1|2|5.50|2026-06-12T07:52:37Z
OUT-1008|LOC-0508|TXN-40000352|177852892265|BSK-629B1F6B|1|25.63|2026-06-12T08:18:51Z
OUT-1008|LOC-0508|TXN-40000352|222196937926|BSK-629B1F6B|2|24.74|2026-06-12T08:18:51Z
OUT-1023|LOC-0523|TXN-40000340|527722170434|BSK-2E33FAF0|2|6.28|2026-06-12T09:23:05Z
OUT-1019|LOC-0519|TXN-40000345|544587717536|BSK-812A141E|1|19.15|2026-06-12T10:06:28Z
OUT-1019|LOC-0519|TXN-40000345|802380617447|BSK-812A141E|2|34.06|2026-06-12T10:06:28Z
OUT-1019|LOC-0519|TXN-40000345|936763201630|BSK-812A141E|1|9.61|2026-06-12T10:06:28Z
OUT-1019|LOC-0519|TXN-40000341|341016668700|BSK-D692B225|2|64.38|2026-06-12T10:24:17Z
OUT-1019|LOC-0519|TXN-40000341|474074821753|BSK-D692B225|1|49.38|2026-06-12T10:24:17Z
OUT-1030|LOC-0530|TXN-40000353|100330923274|BSK-769B80AB|1|33.79|2026-06-12T10:24:30Z
OUT-1030|LOC-0530|TXN-40000353|384251354274|BSK-769B80AB|1|41.84|2026-06-12T10:24:30Z
OUT-1003|LOC-0503|TXN-40000334|240049915471|BSK-11F4AAF7|2|98.92|2026-06-12T10:28:10Z
OUT-1003|LOC-0503|TXN-40000334|969029593910|BSK-11F4AAF7|1|46.89|2026-06-12T10:28:10Z
OUT-1003|LOC-0503|TXN-40000334|984546156790|BSK-11F4AAF7|1|12.91|2026-06-12T10:28:10Z
OUT-1018|LOC-0518|TXN-40000327|251341252867|BSK-BFF9BF1D|2|42.96|2026-06-12T10:37:09Z
OUT-1018|LOC-0518|TXN-40000327|681645352183|BSK-BFF9BF1D|1|32.02|2026-06-12T10:37:09Z
OUT-1018|LOC-0518|TXN-40000327|963834657874|BSK-BFF9BF1D|1|6.92|2026-06-12T10:37:09Z
OUT-1004|LOC-0504|TXN-40000329|617711592122|BSK-4C4CD8AB|1|14.47|2026-06-12T11:46:20Z
OUT-1004|LOC-0504|TXN-40000329|680112805986|BSK-4C4CD8AB|1|8.25|2026-06-12T11:46:20Z
OUT-1032|LOC-0532|TXN-40000338|551256746803|BSK-DBC69DFC|1|23.28|2026-06-12T12:58:46Z
OUT-1032|LOC-0532|TXN-40000338|884969653282|BSK-DBC69DFC|1|25.17|2026-06-12T12:58:46Z
OUT-1004|LOC-0504|TXN-40000342|323705895789|BSK-E02BF2DD|1|7.35|2026-06-12T13:04:23Z
OUT-1031|LOC-0531|TXN-40000337|104332181960|BSK-A490E9D1|1|2.55|2026-06-12T13:26:02Z
OUT-1031|LOC-0531|TXN-40000337|460953962181|BSK-A490E9D1|1|48.75|2026-06-12T13:26:02Z
OUT-1019|LOC-0519|TXN-40000328|323705895789|BSK-DDD7F32D|1|7.35|2026-06-12T14:30:21Z
OUT-1039|LOC-0539|TXN-40000350|019380262069|BSK-2BBA25B5|1|39.60|2026-06-12T16:05:06Z
OUT-1039|LOC-0539|TXN-40000350|055269658271|BSK-2BBA25B5|1|47.76|2026-06-12T16:05:06Z
OUT-1039|LOC-0539|TXN-40000350|671657262846|BSK-2BBA25B5|1|31.17|2026-06-12T16:05:06Z
OUT-1039|LOC-0539|TXN-40000350|748016245656|BSK-2BBA25B5|1|3.21|2026-06-12T16:05:06Z
OUT-1009|LOC-0509|TXN-40000343|001701277067|BSK-3E5EED9F|1|10.90|2026-06-12T16:45:17Z
OUT-1009|LOC-0509|TXN-40000343|167243426612|BSK-3E5EED9F|1|22.99|2026-06-12T16:45:17Z
OUT-1009|LOC-0509|TXN-40000343|925546659058|BSK-3E5EED9F|1|4.22|2026-06-12T16:45:17Z
OUT-1017|LOC-0517|TXN-40000333|276483503059|BSK-F10543F9|1|20.65|2026-06-12T17:29:32Z
OUT-1017|LOC-0517|TXN-40000333|701065133381|BSK-F10543F9|3|68.91|2026-06-12T17:29:32Z
OUT-1022|LOC-0522|TXN-40000348|783777014363|BSK-C69C270F|1|34.89|2026-06-12T17:36:32Z
OUT-1032|LOC-0532|TXN-40000332|420549329668|BSK-F56629D5|1|26.24|2026-06-12T17:55:06Z
OUT-1032|LOC-0532|TXN-40000332|527177449055|BSK-F56629D5|1|25.85|2026-06-12T17:55:06Z
OUT-1004|LOC-0504|TXN-40000336|657569245931|BSK-6D279518|1|24.46|2026-06-12T19:17:32Z
OUT-1034|LOC-0534|TXN-40000330|609320489962|BSK-922B713C|1|15.45|2026-06-12T19:26:36Z
OUT-1007|LOC-0507|TXN-40000331|622292706530|BSK-8198FC8E|1|48.50|2026-06-12T19:33:35Z
OUT-1020|LOC-0520|TXN-40000326|527722170434|BSK-C8972AF5|1|3.14|2026-06-12T20:04:44Z
OUT-1020|LOC-0520|TXN-40000326|615305152202|BSK-C8972AF5|3|45.15|2026-06-12T20:04:44Z
OUT-1020|LOC-0520|TXN-40000326|681645352183|BSK-C8972AF5|1|32.02|2026-06-12T20:04:44Z
OUT-1035|LOC-0535|TXN-40000349|866618892419|BSK-57FE8160|2|32.36|2026-06-12T20:41:09Z
OUT-1035|LOC-0535|TXN-40000349|930870593251|BSK-57FE8160|1|36.12|2026-06-12T20:41:09Z
OUT-1071|LOC-0517|TXN-40000347|985698478969|BSK-F8725A04|3|17.55|2026-06-12T20:49:53Z
TRAILER|54
