outlet_id,location_id,valid_from,valid_to
OUT-1001,LOC-0501,2025-01-01,
OUT-1002,LOC-0502,2025-01-01,
OUT-1003,LOC-0503,2025-01-01,
OUT-1004,LOC-0504,2025-01-01,
OUT-1005,LOC-0505,2025-01-01,
OUT-1006,LOC-0506,2025-01-01,
OUT-1007,LOC-0507,2025-01-01,
OUT-1008,LOC-0508,2025-01-01,
OUT-1009,LOC-0509,2025-01-01,
OUT-1010,LOC-0510,2025-01-01,
OUT-1011,LOC-0511,2025-01-01,
OUT-1012,LOC-0512,2025-01-01,
OUT-1013,LOC-0513,2025-01-01,
OUT-1014,LOC-0514,2025-01-01,
OUT-1015,LOC-0515,2025-01-01,
OUT-1016,LOC-0516,2025-01-01,
OUT-1017,LOC-0517,2025-01-01,
OUT-1018,LOC-0518,2025-01-01,
OUT-1019,LOC-0519,2025-01-01,
OUT-1020,LOC-0520,2025-01-01,
OUT-1021,LOC-0521,2025-01-01,
OUT-1022,LOC-0522,2025-01-01,
OUT-1023,LOC-0523,2025-01-01,
OUT-1024,LOC-0524,2025-01-01,
OUT-1025,LOC-0525,2025-01-01,
OUT-1026,LOC-0526,2025-01-01,
OUT-1027,LOC-0527,2025-01-01,
OUT-1028,LOC-0528,2025-01-01,
OUT-1029,LOC-0529,2025-01-01,
OUT-1030,LOC-0530,2025-01-01,
OUT-1031,LOC-0531,2025-01-01,
OUT-1032,LOC-0532,2025-01-01,
OUT-1033,LOC-0533,2025-01-01,
OUT-1034,LOC-0534,2025-01-01,
OUT-1035,LOC-0535,2025-01-01,
OUT-1036,LOC-0536,2025-01-01,
OUT-1037,LOC-0537,2025-01-01,
OUT-1038,LOC-0538,2025-01-01,
OUT-1039,LOC-0539,2025-01-01,
OUT-1040,LOC-0540,2025-01-01,
